Time,Input,Output
1.25e-06,(-0.049515750961386176-0.1471777912260613j),(0.959756+0.886062j)
1.255e-06,(0.006959563253729376-0.0564752919908108j),(0.18357+0.463926j)
1.26e-06,(0.03571067958585464+0.008442768903487446j),(-0.29293+0.100558j)
1.265e-06,(0.0038790968222860074+0.023502868992008395j),(-0.132149-0.153889j)
1.2700000000000001e-06,(-0.06662935458360601-0.011865511852236168j),(0.51924-0.196989j)
1.275e-06,(-0.10804456871020057-0.07826666727476875j),(1.09854+0.113029j)
1.28e-06,(-0.0669716088766066-0.13086270687316032j),(1.03063+0.671335j)
1.285e-06,(0.03799244895354113-0.11511812042294295j),(0.212778+1.00271j)
1.29e-06,(0.12538641594210323-0.017684168197817526j),(-0.827883+0.665684j)
1.295e-06,(0.1252724052587856+0.09948776689909071j),(-1.32338-0.189052j)
1.3e-06,(0.04529424427596637+0.13896324370795202j),(-0.914028-0.824136j)
1.305e-06,(-0.0392474554422258+0.05909931565149787j),(0.0326283-0.613609j)
1.31e-06,(-0.06046833282350034-0.07746814800544985j),(0.759428+0.285424j)
1.3150000000000001e-06,(-0.02008008159465019-0.15961384542959028j),(0.80869+1.06366j)
1.32e-06,(0.02201964111794558-0.1328024441908936j),(0.385835+1.06437j)
1.325e-06,(0.012207788369541495-0.04597875286196755j),(0.0885652+0.403003j)
1.33e-06,(-0.044609735689965145+0.005704578989349425j),(0.28398-0.214696j)
1.335e-06,(-0.0930985015293021-0.027267888458062457j),(0.778556-0.190105j)
1.34e-06,(-0.07872315449413453-0.11306459466493937j),(1.04022+0.484834j)
1.345e-06,(0.00342274294874871-0.18037845783454654j),(0.729775+1.31669j)
1.35e-06,(0.09925952328940778-0.1786671863695435j),(0.0237286+1.70946j)
1.355e-06,(0.13166144838552662-0.10690357290483354j),(-0.52257+1.32998j)
1.3600000000000001e-06,(0.060924820042866056-0.004905926374202042j),(-0.44729+0.300412j)
1.365e-06,(-0.07187762414802762+0.06891112395129252j),(0.20736-0.785985j)
1.37e-06,(-0.1634928755789621+0.0692533782442931j),(0.887154-1.17345j)
1.375e-06,(-0.12949368970115788-0.0011409135754393974j),(0.959154-0.530108j)
1.3800000000000001e-06,(0.01563050909398547-0.08032041527581982j),(0.250768+0.640655j)
1.385e-06,(0.1623521020166426-0.09195772796698257j),(-0.773617+1.33562j)
1.39e-06,(0.20422358111955566-0.01654323906536482j),(-1.41417+0.968572j)
1.395e-06,(0.1378224701456324+0.08454169971819218j),(-1.36774-0.038503j)
1.4e-06,(0.05430753330644202+0.12926544609147506j),(-0.941482-0.716741j)
1.405e-06,(0.03046241002143303+0.09857501470340657j),(-0.62429-0.602834j)
1.41e-06,(0.04335472920128047+0.04689150505765165j),(-0.498217-0.176377j)
1.415e-06,(0.010838682300320115+0.03034839933811528j),(-0.207353-0.182977j)
1.42e-06,(-0.09309850152930213+0.04711974866733455j),(0.461724-0.723994j)
